对象,提及次数,涉及文本数,涉及文本占比,合并同义词及命中
母亲,5595,1789,0.2083,妈妈(4264)、妈(915)、母亲(398)、老妈(9)、妈咪(8)、阿妈(1)
父亲,3158,1234,0.1437,爸爸(2028)、爸(631)、父亲(439)、爹(35)、老爸(25)
兄弟姐妹,2867,1018,0.1185,姐姐(790)、哥哥(461)、妹妹(344)、弟弟(322)、姐(273)、哥(211)、弟(190)、妹(159)、兄弟(57)、姐妹(55)、兄长(5)
爷爷,2737,830,0.0966,爷爷(2723)、祖父(12)、阿爷(2)
奶奶,2719,870,0.1013,奶奶(2686)、祖母(30)、阿奶(3)
宠物-狗,2607,550,0.064,狗(1520)、小狗(798)、狗狗(230)、汪(33)、金毛(11)、拉布拉多(8)、狗子(4)、柯基(3)
宠物-猫,2418,592,0.0689,猫(1186)、猫猫(613)、小猫(461)、猫咪(68)、喵(43)、狸花(29)、橘猫(15)、英短(2)、布偶(1)
外婆/姥姥,2149,650,0.0757,外婆(1070)、姥姥(1066)、外祖母(13)
孩子/子女,2019,984,0.1146,孩子(941)、小孩(438)、女儿(343)、儿子(243)、小朋友(50)、崽崽(4)
外公/姥爷,1939,569,0.0663,外公(1085)、姥爷(853)、外祖父(1)
朋友/网友,1687,948,0.1104,朋友(1506)、好友(66)、网友(36)、闺蜜(25)、发小(22)、列表(20)、互关(12)
宠物-其他,1001,450,0.0524,鱼(291)、鸟(255)、宠物(135)、小鸟(115)、兔子(109)、鹦鹉(29)、蛇(22)、兔兔(20)、乌龟(18)、刺猬(6)、龟龟(1)
叔伯舅姨姑,953,437,0.0509,舅舅(240)、阿姨(198)、叔叔(163)、姑姑(156)、小姨(94)、姨妈(62)、姑妈(21)、伯伯(19)
恋人/伴侣,819,467,0.0544,老公(254)、太太(120)、爱人(89)、妻子(83)、丈夫(62)、女朋友(39)、先生(36)、老婆(34)、对象(30)、男朋友(24)、初恋(15)、恋人(12)、女友(10)、伴侣(6)、前女友(2)、男友(2)、前男友(1)
同学/同桌,652,393,0.0458,同学(441)、同桌(41)、学姐(36)、舍友(32)、室友(30)、学弟(20)、学长(18)、学妹(16)、同班(14)、校友(4)
老师,651,352,0.041,老师(518)、班主任(125)、导师(6)、教练(2)
陌生人/公众人物,176,141,0.0164,陌生人(57)、路人(26)、博主(25)、歌手(17)、作者(15)、明星(14)、演员(12)、偶像(10)
宠物-仓鼠/鼠,86,44,0.0051,仓鼠(62)、鼠鼠(18)、小鼠(5)、金丝熊(1)
同事,60,49,0.0057,同事(44)、领导(15)、同僚(1)
